Sn No,name,company,type,,ABV,rank,Review,ratings,lng,lat,Address
159,Abraxas,Perennial Artisan Ales,American Double , Imperial Stout ,,4.41,308,"2,433",-90.2661378,38.5459371,"8125 michigan ave, st. louis, mo 63111, usa"
160,Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Co.,American Double , Imperial Stout ,,4.41,297,"1,873",-120.1632682,39.3218546,"11197 brockway rd, truckee, ca 96161, usa"
161,Rodenbach Caractère Rouge,Brouwerij Rodenbach N.V.,Flanders Red Ale , 7.00% ABV,,4.41,201,"1,392",4.2689879,50.9964288,"steenhuffeldorp 3, 1840 steenhuffel, belgium"
162,Ground State - 2nd Anniversary Beer,Bottle Logic Brewing,American Double , Imperial Stout ,,4.41,63,379,-117.8597746,33.8495445,"1072 n armando st, anaheim, ca 92806, usa"
163,Second Fiddle,Fiddlehead Brewing Company,American Double , Imperial IPA ,,4.41,192,"1,720",-73.2326877,44.3662006,"6305 shelburne rd, shelburne, vt 05482, usa"
164,Mother Of All Storms,Pelican Pub & Brewery,English Barleywine , 14.00% ABV,,4.41,463,"1,935",-123.9705509,45.2151591,"33180 cape kiwanda dr, pacific city, or 97135, usa"
165,Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,Oatmeal Stout , 14.50% ABV,,4.41,62,575,-122.344586,47.649044,"1050 n 34th st, seattle, wa 98103, usa"
166,Born Yesterday Pale Ale,Lagunitas Brewing Company,American Pale Ale (APA) , 7.00% ABV,,4.40,427,"2,256",-87.6919883,41.8572025,"2607 w 17th st, chicago, il 60608, usa"
167,Dialed In (w/ Sauvignon Blanc Juice),Trillium Brewing Company,American Double , Imperial IPA ,,4.40,68,479,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
168,Consecration,Russian River Brewing Company,American Wild Ale , 10.00% ABV,,4.40,"1,151","5,229",-122.711642,38.441804,"725 4th st, santa rosa, ca 95404, usa"
169,Aaron,Hill Farmstead Brewery,English Barleywine,,,4.40,35,353,-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
170,Double Dry Hopped Melcher Street,Trillium Brewing Company,American IPA , 7.20% ABV,,4.40,98,824,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
171,Westly,Sante Adairius Rustic Ales,American Wild Ale , 8.50% ABV,,4.40,30,231,-121.9496012,36.9832373,"103 kennedy dr, capitola, ca 95010, usa"
172,Montmorency Vs Balaton,Jester King Brewery,American Wild Ale , 6.70% ABV,,4.40,55,702,-97.9990985,30.2306803,"13187 fitzhugh rd, austin, tx 78736, usa"
173,Nut Smasher,Willoughby Brewing,American Double , Imperial Stout ,,4.40,60,297,-81.405577,41.64149,"4057 erie st, willoughby, oh 44094, usa"
174,Epiphany,Foundation Brewing Company,American Double , Imperial IPA ,,4.40,132,881,-70.319935,43.702795,"1 industrial way #5, portland, me 04103, usa"
175,AleSmith Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,American Double , Imperial Stout ,,4.40,157,"1,727",-117.1498484,32.888186,"9990 alesmith ct, san diego, ca 92126, usa"
176,Samuel Adams Utopias,Boston Beer Company (Samuel Adams),American Strong Ale , 29.00% ABV,,4.40,544,"2,497",-71.1032285,42.3145455,"30 germania st, boston, ma 02130, usa"
177,Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,Hefeweizen , 5.40% ABV,,4.40,"2,501","8,190",11.7289326,48.3952883,"alte akademie 2, 85354 freising, germany"
178,West Ashley,Sante Adairius Rustic Ales,American Wild Ale , 7.30% ABV,,4.40,88,951,-121.9496012,36.9832373,"103 kennedy dr, capitola, ca 95010, usa"
